Id_number,measurement_number,location,Weathering_class,surface_class,O,Na,Mg,Al,Si,K,Ca,Ti,Mn,Fe
231,1,Semizbugu P1,weakly_weathered,lw,0.435435,0.0500501,0.003003,0.0840841,0.367367,0.00800801,0.00600601,0.002002,0.002002,0.042042
231,2,Semizbugu P1,weakly_weathered,lw,0.445445,0.046046,0.003003,0.0830831,0.369369,0.00800801,0.00600601,0.002002,0.002002,0.035035
231,1,Semizbugu P1,weakly_weathered,mw,0.416583,0.036963,0.002997,0.0769231,0.341658,0.010989,0.00599401,0.003996,0.002997,0.100899
231,2,Semizbugu P1,weakly_weathered,mw,0.433868,0.0400802,0.00300601,0.0781563,0.348697,0.00901804,0.00400802,0.00300601,0.001002,0.0791583
336,1,Semizbugu P1,weakly_weathered,lw,0.516,0.02,0.006,0.054,0.366,0.009,0.006,0.001,0.001,0.021
336,2,Semizbugu P1,weakly_weathered,lw,0.527528,0.018018,0.00600601,0.049049,0.362362,0.00900901,0.00600601,0.001001,0,0.021021
336,1,Semizbugu P1,weakly_weathered,mw,0.321321,0.025025,0.002002,0.0680681,0.383383,0.012012,0.00800801,0.00900901,0.00600601,0.165165
336,2,Semizbugu P1,weakly_weathered,mw,0.309,0.026,0.002,0.068,0.399,0.018,0.014,0.005,0.003,0.156
495,001,Semizbugu P1,strongly_weathered,lw,0.564,0.045,0.002,0.064,0.287,0.012,0.002,0.001,0,0.023
495,001,Semizbugu P1,strongly_weathered,mw,0.491,0.033,0.002,0.067,0.335,0.016,0.005,0.002,0.001,0.048
495,002,Semizbugu P1,strongly_weathered,lw,0.571572,0.043043,0.003003,0.0640641,0.282282,0.014014,0.002002,0.001001,0,0.019019
495,002,Semizbugu P1,strongly_weathered,mw,0.514,0.046,0.003,0.078,0.305,0.016,0.004,0.001,0.001,0.032
83,001,Semizbugu P1,strongly_weathered,lw,0.521,0.056,0.002,0.087,0.306,0.005,0.002,0.001,0.001,0.019
83,001,Semizbugu P1,strongly_weathered,mw,0.4995,0.0559441,0.002997,0.0789211,0.307692,0.00599401,0.001998,0.001998,0.003996,0.040959
83,002,Semizbugu P1,strongly_weathered,lw,0.488,0.06,0.004,0.085,0.332,0.007,0.003,0.001,0.001,0.019
83,002,Semizbugu P1,strongly_weathered,mw,0.501,0.053,0.004,0.077,0.296,0.006,0.003,0.003,0.004,0.053
791,001,Semizbugu P2,mildly_weathered,lw,0.500501,0.0630631,0.003003,0.0950951,0.296296,0.00800801,0.002002,0.002002,0.001001,0.029029
791,001,Semizbugu P2,mildly_weathered,mw,0.498498,0.0500501,0.004004,0.0800801,0.25025,0.00700701,0.001001,0.003003,0,0.106106
791,002,Semizbugu P2,mildly_weathered,lw,0.498498,0.0610611,0.003003,0.0930931,0.31031,0.00500501,0.002002,0.002002,0.001001,0.024024
791,002,Semizbugu P2,mildly_weathered,mw,0.483483,0.0520521,0.003003,0.0850851,0.298298,0.00800801,0.003003,0.003003,0.001001,0.0630631
1556,001,Semizbugu P5,mildly_weathered,lw,0.508,0.039,0.005,0.089,0.29,0.025,0.008,0.005,0,0.031
1556,001,Semizbugu P5,mildly_weathered,mw,0.49049,0.031031,0.00500501,0.0870871,0.279279,0.026026,0.00700701,0.00500501,0.001001,0.0680681
1556,002,Semizbugu P5,mildly_weathered,lw,0.529471,0.037962,0.00599401,0.0889111,0.280719,0.024975,0.00699301,0.002997,0.000999001,0.020979
1556,002,Semizbugu P5,mildly_weathered,mw,0.488978,0.0350701,0.00601202,0.0881764,0.279559,0.0240481,0.00801603,0.00400802,0,0.0661323
1777,001,Semizbugu P5,strongly_weathered,lw,0.516517,0.044044,0.004004,0.0810811,0.252252,0.00900901,0.003003,0.003003,0.001001,0.0860861
1777,001,Semizbugu P5,strongly_weathered,mw,0.512488,0.0539461,0.002997,0.0889111,0.260739,0.011988,0.003996,0.001998,0.000999001,0.0619381
1777,002,Semizbugu P5,strongly_weathered,lw,0.538462,0.0629371,0.003996,0.0879121,0.27972,0.00899101,0.001998,0.001998,0.000999001,0.012987
1777,002,Semizbugu P5,strongly_weathered,mw,0.525,0.043,0.005,0.076,0.257,0.013,0.003,0.003,0.003,0.072
1843,001,Semizbugu P5,mildly_weathered,lw,0.560561,0.024024,0.021021,0.101101,0.222222,0.028028,0.00600601,0.002002,0.001001,0.034034
1843,001,Semizbugu P5,mildly_weathered,mw,0.517,0.032,0.008,0.083,0.263,0.018,0.005,0.003,0.001,0.07
1843,002,Semizbugu P5,mildly_weathered,lw,0.554446,0.031968,0.00999001,0.0899101,0.261738,0.018981,0.004995,0.001998,0,0.025974
1843,002,Semizbugu P5,mildly_weathered,mw,0.521522,0.035035,0.011011,0.0890891,0.279279,0.02002,0.00500501,0.002002,0.001001,0.036036
1962,001,Semizbugu P5,strongly_weathered,lw,0.543,0.027,0.016,0.084,0.258,0.024,0.013,0.002,0.001,0.032
1962,001,Semizbugu P5,strongly_weathered,mw,0.509491,0.01998,0.013986,0.0739261,0.266733,0.01998,0.00899101,0.003996,0.000999001,0.0819181
1962,002,Semizbugu P5,strongly_weathered,lw,0.548452,0.032967,0.010989,0.0809191,0.275724,0.020979,0.00699301,0.000999001,0.001998,0.01998
1962,002,Semizbugu P5,strongly_weathered,mw,0.507,0.035,0.006,0.072,0.303,0.017,0.005,0.003,0.001,0.051
survey,001,survey,strongly_weathered,lw,0.492,0.038,0.01,0.099,0.275,0.025,0.007,0.004,0.002,0.048
survey,001,survey,strongly_weathered,mw,0.448,0.025,0.008,0.088,0.269,0.023,0.009,0.004,0.002,0.124
survey,002,survey,strongly_weathered,lw,0.507508,0.038038,0.00700701,0.0990991,0.269269,0.023023,0.00700701,0.003003,0.001001,0.045045
survey,002,survey,strongly_weathered,mw,0.472527,0.031968,0.00599401,0.0899101,0.261738,0.023976,0.00699301,0.003996,0.000999001,0.101898
