Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.589138,0.445445,15000
11,Na,Sodium,0.042365,0.046046,15000
12,Mg,Magnesium,0.00261297,0.003003,15000
13,Al,Aluminum,0.0651889,0.0830831,15000
14,Si,Silicon,0.27826,0.369369,15000
19,K,Potassium,0.00433401,0.00800801,15000
20,Ca,Calcium,0.00317103,0.00600601,15000
22,Ti,Titanium,0.000884446,0.002002,15000
25,Mn,Manganese,0.000771113,0.002002,15000
26,Fe,Iron,0.0132746,0.035035,15000
