Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.587917,0.433868,15000
11,Na,Sodium,0.0377816,0.0400802,15000
12,Mg,Magnesium,0.00267982,0.00300601,15000
13,Al,Aluminum,0.0628292,0.0781563,15000
14,Si,Silicon,0.269138,0.348697,15000
19,K,Potassium,0.00500051,0.00901804,15000
20,Ca,Calcium,0.00216811,0.00400802,15000
22,Ti,Titanium,0.00136061,0.00300601,15000
25,Mn,Manganese,0.000395421,0.001002,15000
26,Fe,Iron,0.0307293,0.0791583,15000
