Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.640972,0.4995,15000
11,Na,Sodium,0.0499401,0.0559441,15000
12,Mg,Magnesium,0.00253015,0.002997,15000
13,Al,Aluminum,0.0600807,0.0789211,15000
14,Si,Silicon,0.224899,0.307692,15000
19,K,Potassium,0.00314748,0.00599401,15000
20,Ca,Calcium,0.00102351,0.001998,15000
22,Ti,Titanium,0.000856413,0.001998,15000
25,Mn,Manganese,0.00149335,0.003996,15000
26,Fe,Iron,0.0150574,0.040959,15000
