Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.698748,0.560561,15000
11,Na,Sodium,0.0208322,0.024024,15000
12,Mg,Magnesium,0.0172389,0.021021,15000
13,Al,Aluminum,0.0747641,0.101101,15000
14,Si,Silicon,0.157781,0.222222,15000
19,K,Potassium,0.0142966,0.028028,15000
20,Ca,Calcium,0.00298866,0.00600601,15000
22,Ti,Titanium,0.00083358,0.002002,15000
25,Mn,Manganese,0.000363382,0.001001,15000
26,Fe,Iron,0.0121537,0.034034,15000
