Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.61663,0.448,15000
11,Na,Sodium,0.0239375,0.025,15000
12,Mg,Magnesium,0.00724425,0.008,15000
13,Al,Aluminum,0.0718569,0.088,15000
14,Si,Silicon,0.210896,0.269,15000
19,K,Potassium,0.0129544,0.023,15000
20,Ca,Calcium,0.00494517,0.009,15000
22,Ti,Titanium,0.00183904,0.004,15000
25,Mn,Manganese,0.000801693,0.002,15000
26,Fe,Iron,0.0488951,0.124,15000
