Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.653027,0.507508,15000
11,Na,Sodium,0.0340486,0.038038,15000
12,Mg,Magnesium,0.00593168,0.00700701,15000
13,Al,Aluminum,0.0756479,0.0990991,15000
14,Si,Silicon,0.197353,0.269269,15000
19,K,Potassium,0.0121225,0.023023,15000
20,Ca,Calcium,0.00359926,0.00700701,15000
22,Ti,Titanium,0.00129071,0.003003,15000
25,Mn,Manganese,0.000375106,0.001001,15000
26,Fe,Iron,0.0166047,0.045045,15000
