Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.587081,0.447552,15000
11,Na,Sodium,0.0446692,0.048951,15000
12,Mg,Magnesium,0.00172428,0.001998,15000
13,Al,Aluminum,0.0761878,0.0979021,15000
14,Si,Silicon,0.273939,0.366633,15000
19,K,Potassium,0.000536245,0.000999001,15000
20,Ca,Calcium,0.007847,0.014985,15000
22,Ti,Titanium,0.000875457,0.001998,15000
25,Mn,Manganese,0.000381638,0.000999001,15000
26,Fe,Iron,0.00675755,0.017982,15000
