Atomic number,Element symbol,Element name,Atomic concentration percentage,Weight concentration percentage,Energy level
8,O,Oxygen,0.575695,0.427572,15000
11,Na,Sodium,0.0364926,0.038961,15000
12,Mg,Magnesium,0.00353969,0.003996,15000
13,Al,Aluminum,0.0797972,0.0999001,15000
14,Si,Silicon,0.266622,0.347652,15000
19,K,Potassium,0.0121092,0.021978,15000
20,Ca,Calcium,0.00859134,0.015984,15000
22,Ti,Titanium,0.00134789,0.002997,15000
25,Mn,Manganese,0.000391724,0.000999001,15000
26,Fe,Iron,0.0154136,0.03996,15000
