[25] Parameters table: p5-1962_artifact_lw-5 - ... - Thresholded (0.0490738 % ; 99.9000 %)
\\storage.rcs.nyu.edu\anthrotopographylab\Sensofar Projects\Emily_2024\p5-1962_artifact_lw-5.mnt
2024/10/04,13:52:08

Name,Value,Unit,Context,Frame Number,Studiable name,
Spc,4.419378543,1/µm,pruning = 5%,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Spd,0.006573490887,1/µm²,pruning = 5%,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
S5v,7.661804,µm,pruning = 5%,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Sq,2.147907965,µm,,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Sp,11.88673,µm,,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Sv,9.39076,µm,,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Sa,1.667439727,µm,,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Ssk,0.1062604165,<no unit>,,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Sal,39.20485572,µm,s = 0.2,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Sk,4.469717382,µm,Gaussian filter  0.25 mm,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Spk,2.232060917,µm,Gaussian filter  0.25 mm,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Smr1,11.33172585,%,Gaussian filter  0.25 mm,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Smr2,90.02163865,%,Gaussian filter  0.25 mm,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Vvv,0.2435072437,µm³/µm²,p = 80%,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Vvc,2.531615192,µm³/µm²,p = 10%  q = 80%,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
Vv,2.775122435,µm³/µm²,p = 10%,25,p5-1962_artifact_lw-5 > Topography layer > Waviness (Gaussian filter, 1.09300 µm) > Form removed (Polynomial of degree 3) > Roughness (Gaussian filter, 327.980 µm) > Thresholded (0.0490738 % ; 99.9000 %),
