Id_number,Date,location,Site_name,Collector,Recorder,Collecting_method,Artifact_type,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Tool_type,Tool_type_descrition,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Recycling_indications,Recycling_description,Weathering_class,Weight,lw_Spc_u,mw_Spc_u,lw_Spd_u,mw_Spd_u,lw_Sq_u,mw_Sq_u,lw_Sp_u,mw_Sp_u,lw_Sv_u,mw_Sv_u,lw_Spc_c,mw_Spc_c,lw_Spd_c,mw_Spd_c,lw_Sq_c,mw_Sq_c,lw_Sp_c,mw_Sp_c,lw_Sv_c,mw_Sv_c
83,2022-06-10T05:15:00Z,P1,Square 1,Emily Coco,Emily Coco,observed,complete_flake,"black, fine grained",flake,NA,NA,NA,Levallois,NA,NA,56.68,36.29,10.16,NA,12.46,4.2,faceted,NA,feather,NA,4,convergent,NA,NA,TRUE,bifacial,scalar,NA,TRUE,0,double_patina,retouch of different weathering,strongly_weathered,19.03,28.4637,32.5473,0.000013975,1.75E-06,34.5504,19.7136,86.6233,36.7856,54.1028,35.7194,18.7216,22.836,2.27E-04,2.78E-04,0.41575,0.353578,18.3207,13.5975,24.9349,15.1504
231,2022-06-12T01:03:00Z,P1,Square 1,EEmily Coco,Emily Coco,collected,complete_flake,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,21.06,25.11,5.45,NA,NA,NA,linear,NA,hinge,NA,4,multidirectionaldirectionaldirectional,NA,NA,TRUE,dorsal,scalar,NA,TRUE,0,double_patina,flake scars from top cut weathered dorsal flake scar,weakly_weathered,4.35,8.80843,1.40396,8.73E-06,4.37E-05,15.3771,10.1427,56.5412,26.4804,37.2606,22.6187,17.7952,16.3995,1.38E-04,5.76E-05,0.297112,0.22779,18.6727,24.5668,20.4674,14.7766
336,2022-06-13T01:12:00Z,P1,Square 1,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,other,backed knife,49.85,18.08,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,blade,NA,TRUE,dorsal,stepped,NA,TRUE,5,double_patina,backing cuts weakly weathered dorsal scars,weakly_weathered,8.3,,0.259553,,8.73E-06,82.6721,15.4731,167.209,36.6722,152.547,37.4737,6.08103,1.56348,8.98E-04,6.76E-04,0.36483,0.144092,9.40467,5.19611,10.2129,4.82631
495,2022-06-14T13:33:00Z,P1,Square 2,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,scraper,NA,81.56,51.67,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar stepped,NA,TRUE,0,double_patina,two sets of differently weathered retouch cutting each other and weathered flakescars,strongly_weathered,67.8,43.0315,8.90039,1.75E-06,6.99E-06,48.1398,35.1918,96.362,63.0361,85.687,60.3837,2.05,0.785492,1.83E-03,8.57E-03,0.211521,0.168335,4.58729,2.35059,4.87915,1.95202
791,2022-06-18T03:39:00Z,P2,Square 5,Emily Coco,Emily Coco,collected,complete_flake,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,65.43,69.03,17.97,NA,NA,NA,missing other,removed,hinge,NA,7,radial,NA,NA,TRUE,dorsal,scalar,NA,TRUE,2,double_patina,"retouch cuts weathered flake scars, two dorsal side removals that cut weathered flake scars",mildly_weathered,70.32,5.96259,165.099,1.05E-05,1.05E-05,24.5201,31.9187,43.9634,48.2867,51.3046,73.9791,3.65435,69.4539,1.06E-03,2.27E-05,0.246231,0.357668,6.78809,42.9055,7.66946,35.4206
1556_1,2022-07-18T01:46:00Z,P5,Square 7,NA,Emily Coco,observed,broken_flake,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,29.03,19.17,6.26,NA,NA,NA,NA,NA,other,"a bit like plunge, but not really",3,bidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,double_patina,slightly less weathered retouch scars,mildly_weathered,5.22,51.0901,30.0144,5.24E-06,6.99E-06,43.2769,39.4629,104.237,73.5482,71.5652,62.7487,9.10657,5.06293,5.97E-04,6.62E-04,0.331548,0.255906,10.4043,7.89199,12.4807,9.76081
1556_2,2022-07-18T01:46:00Z,P5,Square 7,NA,Emily Coco,observed,broken_flake,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,29.03,19.17,6.26,NA,NA,NA,NA,NA,other,"a bit like plunge, but not really",3,bidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,double_patina,slightly less weathered retouch scars,mildly_weathered,5.22,0.568475,0.216159,1.75E-06,6.99E-06,56.3613,40.5967,104.77,74.8708,101.902,74.4809,6.50123,3.77095,9.68E-04,8.91E-04,0.332452,0.215384,7.94711,6.08408,10.7321,7.65145
1777,2022-07-19T11:59:00Z,P5,Square 7,Emily Coco,Emily Coco,collected,tool,"black, less fine grained",NA,NA,NA,NA,NA,scraper notch,NA,64.4,24.03,9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,blade,NA,TRUE,dorsal,scalar notched_denticulated stepped,NA,TRUE,0,double_patina,scraper retouch weathered to a brown color but notCh retouch less weathered,strongly_weathered,13.66,137.796,3.41062,1.22E-05,0.000106559,53.583,5.68285,96.4127,14.0018,109.901,15.9208,85.6306,4.47379,5.59E-05,3.56E-04,0.628649,0.177288,68.6043,7.88552,39.973,7.1904
1843_1,2022-07-20T01:17:00Z,P5,Square 7,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,scraper denticulate,NA,81.3,47.59,12.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar notched_denticulated,NA,TRUE,0,double_patina,dorsal flakescars cut one more weathered scar and  retouch cuts weathered scars,mildly_weathered,55.69,11.0333,52.7525,3.84E-05,1.22E-05,8.78969,19.1638,23.5386,34.8965,23.996,34.9584,2.02766,41.9897,9.42E-04,2.27E-05,0.178402,0.25616,5.20403,31.9613,5.2365,22.0587
1843_2,2022-07-20T01:17:00Z,P5,Square 7,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,scraper denticulate,NA,81.3,47.59,12.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar notched_denticulated,NA,TRUE,0,double_patina,dorsal flakescars cut one more weathered scar and  retouch cuts weathered scars,mildly_weathered,55.69,,31.3263,,6.99E-06,42.3912,25.2563,70.1766,47.0014,110.374,51.2595,1.12037,63.353,3.18E-03,1.22E-05,0.155788,0.296565,2.84231,37.5148,3.67547,38.8393
