Id_number,Date,location,Site_name,Collector,Recorder,Collecting_method,Artifact_type,Raw_material_description,Flake_type,Flake_type_description,Flake_fragment,Flake_fragment_description,Technology_type,Tool_type,Tool_type_descrition,Flake_length,Flake_width,Flake_thickness,Exterior_platform_angle,Platform_width,Platform_thickness,Platform_type,Platform_description,Flake_termination,Flake_termination_description,Dorsal_flake_scar_count,Dorsal_flake_scar_orientation,Blank_form,Blank_form_description,Retouch,Retouch_side,Retouch_type,Backed,Edge_damage,Cortex_percentage,Recycling_indications,Recycling_description,Weathering_class,Weight,lw_Spc_c,mw_Spc_c,lw_Spd_c,mw_Spd_c,lw_Sq_c,mw_Sq_c,lw_Sp_c,mw_Sp_c,lw_Sv_c,mw_Sv_c
83,2022-06-10T05:15:00Z,P1,Square 1,Emily Coco,Emily Coco,observed,complete_flake,"black, fine grained",flake,NA,NA,NA,Levallois,NA,NA,56.68,36.29,10.16,NA,12.46,4.2,faceted,NA,feather,NA,4,convergent,NA,NA,TRUE,bifacial,scalar,NA,TRUE,0,double_patina,retouch of different weathering,strongly_weathered,19.03,2.10266,2.28431,1.36E-04,1.92E-05,3.74349,4.16034,22.1531,11.905,28.361,32.4964
231,2022-06-12T01:03:00Z,P1,Square 1,EEmily Coco,Emily Coco,collected,complete_flake,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,21.06,25.11,5.45,NA,NA,NA,linear,NA,hinge,NA,4,multidirectionaldirectionaldirectional,NA,NA,TRUE,dorsal,scalar,NA,TRUE,0,double_patina,flake scars from top cut weathered dorsal flake scar,weakly_weathered,4.35,1.17625,0.815675,9.26E-05,1.31E-04,4.19562,2.35169,32.6265,22.3321,19.0467,12.8968
336,2022-06-13T01:12:00Z,P1,Square 1,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,other,backed knife,49.85,18.08,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,blade,NA,TRUE,dorsal,stepped,NA,TRUE,5,double_patina,backing cuts weakly weathered dorsal scars,weakly_weathered,8.3,1.45329,0.378415,4.75E-04,2.92E-04,3.1517,2.4109,14.2785,12.1197,25.0328,9.49613
495,2022-06-14T13:33:00Z,P1,Square 2,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,scraper,NA,81.56,51.67,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar stepped,NA,TRUE,0,double_patina,two sets of differently weathered retouch cutting each other and weathered flakescars,strongly_weathered,67.8,0.65872,0.476681,1.02E-03,1.42E-03,1.99787,1.76324,7.03994,9.80109,13.6937,7.52539
791,2022-06-18T03:39:00Z,P2,Square 5,Emily Coco,Emily Coco,collected,complete_flake,"black, fine grained",flake,NA,NA,NA,n/a,NA,NA,65.43,69.03,17.97,NA,NA,NA,missing other,removed,hinge,NA,7,radial,NA,NA,TRUE,dorsal,scalar,NA,TRUE,2,double_patina,"retouch cuts weathered flake scars, two dorsal side removals that cut weathered flake scars",mildly_weathered,70.32,0.922453,0.537498,5.03E-04,4.52E-04,2.90631,2.49784,13.8659,11.5007,11.3234,9.94241
1556_1,2022-07-18T01:46:00Z,P5,Square 7,NA,Emily Coco,observed,broken_flake,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,29.03,19.17,6.26,NA,NA,NA,NA,NA,other,"a bit like plunge, but not really",3,bidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,double_patina,slightly less weathered retouch scars,mildly_weathered,5.22,1.17624,1.18549,2.45E-04,2.73E-04,4.74696,3.58779,13.8559,10.763,18.9018,19.3186
1556_2,2022-07-18T01:46:00Z,P5,Square 7,NA,Emily Coco,observed,broken_flake,"black, fine grained",flake,NA,distal,NA,n/a,NA,NA,29.03,19.17,6.26,NA,NA,NA,NA,NA,other,"a bit like plunge, but not really",3,bidirectional,NA,NA,FALSE,NA,NA,NA,TRUE,0,double_patina,slightly less weathered retouch scars,mildly_weathered,5.22,1.01816,0.641375,6.11E-04,3.58E-04,3.53534,3.15057,12.3231,11.5194,16.7451,14.0669
1777,2022-07-19T11:59:00Z,P5,Square 7,Emily Coco,Emily Coco,collected,tool,"black, less fine grained",NA,NA,NA,NA,NA,scraper notch,NA,64.4,24.03,9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,blade,NA,TRUE,dorsal,scalar notched_denticulated stepped,NA,TRUE,0,double_patina,scraper retouch weathered to a brown color but notCh retouch less weathered,strongly_weathered,13.66,1.53176,1.18124,1.59E-04,2.06E-04,4.97968,2.84687,21.6458,9.14213,27.8209,16.7445
1843_1,2022-07-20T01:17:00Z,P5,Square 7,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,scraper denticulate,NA,81.3,47.59,12.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar notched_denticulated,NA,TRUE,0,double_patina,dorsal flakescars cut one more weathered scar and  retouch cuts weathered scars,mildly_weathered,55.69,0.356343,4.52428,2.85E-04,1.92E-05,2.35781,1.68987,6.73775,28.0788,17.5298,15.9167
1843_2,2022-07-20T01:17:00Z,P5,Square 7,NA,Emily Coco,observed,tool,"black, fine grained",NA,NA,NA,NA,NA,scraper denticulate,NA,81.3,47.59,12.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,flake,NA,TRUE,dorsal,scalar notched_denticulated,NA,TRUE,0,double_patina,dorsal flakescars cut one more weathered scar and  retouch cuts weathered scars,mildly_weathered,55.69,0.647768,0.83974,7.74E-04,2.97E-05,1.79963,2.34602,14.1516,57.9389,6.96257,8.23088
